"alt_06.tif" "alt_07.tif" "alt_11.tif" "alt_12.tif" "alt_13.tif" "alt_15.tif" "alt_16.tif" "alt_17.tif" "alt_18.tif" "bio1_06.tif" "bio1_07.tif" "bio1_11.tif" "bio1_12.tif" "bio1_13.tif" "bio1_15.tif" "bio1_16.tif" "bio1_17.tif" "bio1_18.tif" "bio10_06.tif" "bio10_07.tif" "bio10_11.tif" "bio10_12.tif" "bio10_13.tif" "bio10_15.tif" "bio10_16.tif" "bio10_17.tif" "bio10_18.tif" "bio11_06.tif" "bio11_07.tif" "bio11_11.tif" "bio11_12.tif" "bio11_13.tif" "bio11_15.tif" "bio11_16.tif" "bio11_17.tif" "bio11_18.tif" "bio12_06.tif" "bio12_07.tif" "bio12_11.tif" "bio12_12.tif" "bio12_13.tif" "bio12_15.tif" "bio12_16.tif" "bio12_17.tif" "bio12_18.tif" "bio13_06.tif" "bio13_07.tif" "bio13_11.tif" "bio13_12.tif" "bio13_13.tif" "bio13_15.tif" "bio13_16.tif" "bio13_17.tif" "bio13_18.tif" "bio14_06.tif" "bio14_07.tif" "bio14_11.tif" "bio14_12.tif" "bio14_13.tif" "bio14_15.tif" "bio14_16.tif" "bio14_17.tif" "bio14_18.tif" "bio15_06.tif" "bio15_07.tif" "bio15_11.tif" "bio15_12.tif" "bio15_13.tif" "bio15_15.tif" "bio15_16.tif" "bio15_17.tif" "bio15_18.tif" "bio16_06.tif" "bio16_07.tif" "bio16_11.tif" "bio16_12.tif" "bio16_13.tif" "bio16_15.tif" "bio16_16.tif" "bio16_17.tif" "bio16_18.tif" "bio17_06.tif" "bio17_07.tif" "bio17_11.tif" "bio17_12.tif" "bio17_13.tif" "bio17_15.tif" "bio17_16.tif" "bio17_17.tif" "bio17_18.tif" "bio18_06.tif" "bio18_07.tif" "bio18_11.tif" "bio18_12.tif" "bio18_13.tif" "bio18_15.tif" "bio18_16.tif" "bio18_17.tif" "bio18_18.tif" "bio19_06.tif" "bio19_07.tif" "bio19_11.tif" "bio19_12.tif" "bio19_13.tif" "bio19_15.tif" "bio19_16.tif" "bio19_17.tif" "bio19_18.tif" "bio2_06.tif" "bio2_07.tif" "bio2_11.tif" "bio2_12.tif" "bio2_13.tif" "bio2_15.tif" "bio2_16.tif" "bio2_17.tif" "bio2_18.tif" "bio3_06.tif" "bio3_07.tif" "bio3_11.tif" "bio3_12.tif" "bio3_13.tif" "bio3_15.tif" "bio3_16.tif" "bio3_17.tif" "bio3_18.tif" "bio4_06.tif" "bio4_07.tif" "bio4_11.tif" "bio4_12.tif" "bio4_13.tif" "bio4_15.tif" "bio4_16.tif" "bio4_17.tif" "bio4_18.tif" "bio5_06.tif" "bio5_07.tif" "bio5_11.tif" "bio5_12.tif" "bio5_13.tif" "bio5_15.tif" "bio5_16.tif" "bio5_17.tif" "bio5_18.tif" "bio6_06.tif" "bio6_07.tif" "bio6_11.tif" "bio6_12.tif" "bio6_13.tif" "bio6_15.tif" "bio6_16.tif" "bio6_17.tif" "bio6_18.tif" "bio7_06.tif" "bio7_07.tif" "bio7_11.tif" "bio7_12.tif" "bio7_13.tif" "bio7_15.tif" "bio7_16.tif" "bio7_17.tif" "bio7_18.tif" "bio8_06.tif" "bio8_07.tif" "bio8_11.tif" "bio8_12.tif" "bio8_13.tif" "bio8_15.tif" "bio8_16.tif" "bio8_17.tif" "bio8_18.tif" "bio9_06.tif" "bio9_07.tif" "bio9_11.tif" "bio9_12.tif" "bio9_13.tif" "bio9_15.tif" "bio9_16.tif" "bio9_17.tif" "bio9_18.tif"
"1021662257" NA NA NA 935 NA NA NA NA NA NA NA NA 57 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA -45 NA NA NA NA NA NA NA NA 561 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 115 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 8008 NA NA NA NA NA NA NA NA 255 NA NA NA NA NA NA NA NA -93 NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA -38 NA NA NA NA NA NA NA NA 154 NA NA NA NA NA
"1021720776" NA NA NA 599 NA NA NA NA NA NA NA NA 73 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA -33 NA NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 158 NA NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA NA 123 NA NA NA NA NA NA NA NA 145 NA NA NA NA NA NA NA NA 124 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8165 NA NA NA NA NA NA NA NA 277 NA NA NA NA NA NA NA NA -82 NA NA NA NA NA NA NA NA 359 NA NA NA NA NA NA NA NA -25 NA NA NA NA NA NA NA NA 130 NA NA NA NA NA
"1021730545" NA NA 995 NA NA NA NA NA NA NA NA 50 NA NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA NA -54 NA NA NA NA NA NA NA NA 358 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 7998 NA NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA NA -110 NA NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA
"1021741158" NA NA NA 935 NA NA NA NA NA NA NA NA 57 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA -45 NA NA NA NA NA NA NA NA 561 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 115 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 8008 NA NA NA NA NA NA NA NA 255 NA NA NA NA NA NA NA NA -93 NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA -38 NA NA NA NA NA NA NA NA 154 NA NA NA NA NA
"1021763504" NA NA NA 1918 NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA -90 NA NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 117 NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 7466 NA NA NA NA NA NA NA NA 186 NA NA NA NA NA NA NA NA -140 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA -83 NA NA NA NA NA NA NA NA -43 NA NA NA NA NA
"1021824372" NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 159 NA NA NA NA NA NA NA NA 255 NA NA NA NA NA NA NA NA 65 NA NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA NA 54 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA 128 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 7388 NA NA NA NA NA NA NA NA 336 NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 250 NA NA
"1021824609" NA NA NA NA NA NA 492 NA NA NA NA NA NA NA NA 131 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 490 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 159 NA NA NA NA NA NA NA NA 81 NA NA NA NA NA NA NA NA 92 NA NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 7227 NA NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA NA -8 NA NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA NA 55 NA NA NA NA NA NA NA NA 220 NA NA
"1021867975" NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 218 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 6800 NA NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA NA 74 NA NA NA NA NA NA NA NA 231 NA NA
"1021947032" NA NA NA NA NA NA 176 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 200 NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA 573 NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 182 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 91 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 7700 NA NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA NA -40 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 185 NA NA NA NA NA NA NA NA 20 NA NA
"1021948581" NA NA NA NA NA NA 5 NA NA NA NA NA NA NA NA 119 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 118 NA NA NA NA NA NA NA NA 89 NA NA NA NA NA NA NA NA 110 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 7457 NA NA NA NA NA NA NA NA 260 NA NA NA NA NA NA NA NA -20 NA NA NA NA NA NA NA NA 280 NA NA NA NA NA NA NA NA 85 NA NA NA NA NA NA NA NA 28 NA NA
"1021986510" NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 26 NA NA NA NA NA NA NA NA 448 NA NA NA NA NA NA NA NA 49 NA NA NA NA NA NA NA NA 30 NA NA NA NA NA NA NA NA 14 NA NA NA NA NA NA NA NA 129 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 113 NA NA NA NA NA NA NA NA 108 NA NA NA NA NA NA NA NA 71 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 7361 NA NA NA NA NA NA NA NA 261 NA NA NA NA NA NA NA NA -17 NA NA NA NA NA NA NA NA 278 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 30 NA NA
"1022124251" NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA 116 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 16 NA NA NA NA NA NA NA NA 418 NA NA NA NA NA NA NA NA 46 NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA 15 NA NA NA NA NA NA NA NA 123 NA NA NA NA NA NA NA NA 85 NA NA NA NA NA NA NA NA 116 NA NA NA NA NA NA NA NA 94 NA NA NA NA NA NA NA NA 75 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 7690 NA NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA NA -27 NA NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA NA 193 NA NA NA NA NA NA NA NA 23 NA NA
"1022146473" NA NA NA NA NA NA 7 NA NA NA NA NA NA NA NA 111 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA 387 NA NA NA NA NA NA NA NA 47 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 125 NA NA NA NA NA NA NA NA 78 NA NA NA NA NA NA NA NA 122 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 8129 NA NA NA NA NA NA NA NA 263 NA NA NA NA NA NA NA NA -34 NA NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA NA 195 NA NA NA NA NA NA NA NA 12 NA NA
"1022182581" NA NA NA NA NA NA 81 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 211 NA NA NA NA NA NA NA NA -7 NA NA NA NA NA NA NA NA 483 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 8514 NA NA NA NA NA NA NA NA 278 NA NA NA NA NA NA NA NA -54 NA NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA NA 195 NA NA NA NA NA NA NA NA 6 NA NA
"1022393412" NA NA NA NA NA NA NA 134 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 205 NA NA NA NA NA NA NA NA -129 NA NA NA NA NA NA NA NA 342 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 19 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 62 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA NA 116 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 13191 NA NA NA NA NA NA NA NA 291 NA NA NA NA NA NA NA NA -189 NA NA NA NA NA NA NA NA 480 NA NA NA NA NA NA NA NA 205 NA NA NA NA NA NA NA NA -117 NA
"1022439776" NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 71 NA NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA NA -102 NA NA NA NA NA NA NA NA 216 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 56 NA NA NA NA NA NA NA NA 54 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 13277 NA NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA NA -162 NA NA NA NA NA NA NA NA 482 NA NA NA NA NA NA NA NA -4 NA NA NA NA NA NA NA NA -92 NA
