tagged	pop	mom	Origin	germ start	retag/plant	comment	planting date
US019-1	CA010	6	inv	4/15/2011		2 LF	4/29/2011
US019-2	CA010	1	inv	4/21/2011			4/29/2011
US019-3	CA010	2	inv	4/15/2011		2 LF	4/29/2011
US019-4	CA010	4	inv	4/21/2011			4/29/2011
US019-5	CA010	5	inv	4/15/2011		1 LF	4/29/2011
US019-6	CA010	4	inv	4/21/2011			4/29/2011
US019-7	CA010	3	inv	4/15/2011		1 LF	4/29/2011
US019-8	CA010	3	inv	4/15/2011		1 LF	4/29/2011
US019-9	CA010	1	inv	4/15/2011			4/29/2011
EDGE-18	GR001	2	nat	4/21/2011			4/30/2011
EDGE-22	GR001	2	nat	4/21/2011			4/30/2011
EDGE-24	GR001	2	nat	4/21/2011			4/30/2011
EDGE-29	GR001	19	nat	4/21/2011			4/30/2011
EDGE-32	GR001	19	nat	4/21/2011			4/30/2011
EDGE-33	GR001	19	nat	4/21/2011			4/30/2011
EDGE-34	GR001	2	nat	4/21/2011			4/30/2011
EDGE-37	GR001	19	nat	4/21/2011			4/30/2011
EDGE-41	GR001	19	nat	4/21/2011			4/30/2011
EDGE-64	GR001	19	nat	4/21/2011			4/30/2011
EDGE-70	GR001	15	nat	4/21/2011			4/30/2011
GR001-1	GR001	29	nat	4/15/2011		1 LF	4/28/2011
GR001-2	GR001	27	nat	4/15/2011			4/28/2011
GR001-3	GR001	2	nat	4/21/2011			4/28/2011
GR001-4	GR001	19	nat	4/21/2011			4/28/2011
GR001-5	GR001	29	nat	4/15/2011		1 LF	4/28/2011
GR001-6	GR001	27	nat	4/15/2011			4/28/2011
GR001-7	GR001	2	nat	4/21/2011			4/28/2011
GR001-8	GR001	15	nat	4/21/2011			4/28/2011
GR001-9	GR001	25	nat	4/15/2011		1 LF	4/28/2011
US023-5	GR001	2	nat	4/21/2011			4/29/2011
US026-1	GR001	25	nat	4/15/2011			4/29/2011
US026-2	GR001	19	nat	4/21/2011			4/29/2011
US026-3	GR001	19	nat	4/21/2011			4/29/2011
US026-4	GR001	25	nat	4/15/2011			4/29/2011
US026-6	GR001	15	nat	4/21/2011			4/29/2011
US026-7	GR001	27	nat	4/15/2011			4/29/2011
US026-8	GR001	15	nat	4/21/2011			4/29/2011
US026-9	GR001	2	nat	4/21/2011			4/29/2011
EDGE-14	GR002	21	nat	4/21/2011			4/30/2011
EDGE-19	GR002	15	nat	4/21/2011			4/30/2011
EDGE-44	GR002	24	nat	4/21/2011			4/30/2011
EDGE-45	GR002	12	nat	4/21/2011			4/30/2011
EDGE-53	GR002	12	nat	4/21/2011			4/30/2011
EDGE-57	GR002	12	nat	4/21/2011			4/30/2011
EDGE-60	GR002	15	nat	4/21/2011			4/30/2011
EDGE-61	GR002	12	nat	4/21/2011			4/30/2011
EDGE-65	GR002	21	nat	4/21/2011			4/30/2011
EDGE-69	GR002	15	nat	4/21/2011			4/30/2011
EDGE-74	GR002	12	nat	4/21/2011			4/30/2011
EDGE-78	GR002	24	nat	4/21/2011			4/30/2011
EDGE-85	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-86	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
GR002-1	GR002	24	nat	4/21/2011	NEW PLANT		5/3/2011
GR002-2	GR002	21	nat	4/15/2011			4/27/2011
GR002-3	GR002	11	nat	4/15/2011			4/27/2011
GR002-4	GR002	12	nat	4/15/2011		1 LF	4/27/2011
GR002-5	GR002	11	nat	4/15/2011			4/27/2011
GR002-6	GR002	21	nat	4/15/2011			4/27/2011
GR002-7	GR002	27	nat	4/15/2011			4/27/2011
GR002-8	GR002	27	nat	4/15/2011			4/27/2011
GR002-9	GR002	27	nat	4/15/2011		1 LF	4/27/2011
UA008-5	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
US022-7	GR002	11	nat	4/15/2011			4/29/2011
US023-1	GR002	15	nat	4/21/2011			4/29/2011
US023-2	GR002	21	nat	4/21/2011			4/29/2011
US023-3	GR002	12	nat	4/21/2011			4/29/2011
US023-4	GR002	12	nat	4/21/2011			4/29/2011
US023-6	GR002	24	nat	4/21/2011			4/29/2011
US023-7	GR002	21	nat	4/21/2011			4/29/2011
US023-8	GR002	24	nat	4/21/2011			4/29/2011
US023-9	GR002	15	nat	4/21/2011			4/29/2011
EDGE-13	GR003	22	nat	4/15/2011			4/30/2011
EDGE-16	GR003	30	nat	4/15/2011			4/30/2011
EDGE-17	GR003	30	nat	4/15/2011			4/30/2011
EDGE-47	GR003	30	nat	4/15/2011			4/30/2011
EDGE-59	GR003	22	nat	4/15/2011		1 LF	4/30/2011
GR003-1	GR003	28	nat	4/15/2011			4/27/2011
GR003-2	GR003	22	nat	4/15/2011			4/27/2011
GR003-3	GR003	27	nat	4/15/2011		1 LF	4/27/2011
GR003-4	GR003	11	nat	4/15/2011			4/27/2011
GR003-5	GR003	30	nat	4/15/2011		1 LF	4/27/2011
GR003-6	GR003	28	nat	4/15/2011		1 LF	4/27/2011
GR003-7	GR003	27	nat	4/15/2011		1 LF	4/27/2011
GR003-8	GR003	11	nat	4/15/2011			4/27/2011
TR004-8	GR003	27	nat	4/15/2011			4/29/2011
TR004-9	GR003	11	nat	4/15/2011			4/29/2011
UA006-1	GR003	22	nat	4/15/2011			4/29/2011
UA006-2	GR003	28	nat	4/15/2011		2 LF	4/29/2011
UA006-5	GR003	28	nat	4/15/2011		1 LF	4/29/2011
UA006-7	GR003	22	nat	4/15/2011			4/29/2011
US026-5	GR003	27	nat	4/15/2011		1 LF	4/29/2011
HU001-1	HU001	3	nat	4/15/2011			4/27/2011
HU001-2	HU001	4	nat	4/15/2011		1 LF	4/27/2011
HU001-3	HU001	5	nat	4/15/2011			4/27/2011
HU001-4	HU001	6	nat	4/15/2011		1 LF	4/27/2011
HU001-5	HU001	1	nat	4/15/2011		1 LF	4/27/2011
HU001-6	HU001	1	nat	4/15/2011		1 LF	4/27/2011
HU001-7	HU001	3	nat	4/15/2011		1 LF	4/27/2011
HU001-8	HU001	2	nat	4/15/2011		1 LF	4/27/2011
HU001-9	HU001	2	nat	4/15/2011		1 LF	4/27/2011
RU001-4	HU001	1	nat	4/15/2011		2 LF	4/30/2011
RU001-7	HU001	4	nat	4/15/2011		2 LF	4/30/2011
RU001-8	HU001	4	nat	4/15/2011		2 LF	4/30/2011
TR004-1	HU001	5	nat	4/15/2011			4/29/2011
TR004-2	HU001	4	nat	4/15/2011		1 LF	4/29/2011
TR004-3	HU001	4	nat	4/15/2011		2 LF	4/29/2011
TR004-4	HU001	2	nat	4/15/2011		2 LF	4/29/2011
TR004-5	HU001	3	nat	4/15/2011			4/29/2011
TR004-6	HU001	1	nat	4/15/2011		1 LF	4/29/2011
TR004-7	HU001	1	nat	4/15/2011		1 LF	4/29/2011
EDGE-12	RO001	27	nat	4/15/2011			4/30/2011
EDGE-25	RO001	11	nat	4/21/2011			4/30/2011
EDGE-40	RO001	14	nat	4/15/2011		1 LF	4/30/2011
EDGE-62	RO001	11	nat	4/21/2011			4/30/2011
EDGE-68	RO001	11	nat	4/15/2011			4/30/2011
EDGE-71	RO001	27	nat	4/21/2011			4/30/2011
EDGE-75	RO001	27	nat	4/21/2011			4/30/2011
EDGE-91	RO001	27	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-92	RO001	29	nat	4/21/2011	NEW PLANT		5/3/2011
RO001-1	RO001	11	nat	4/15/2011			4/27/2011
RO001-2	RO001	11	nat	4/15/2011			4/27/2011
RO001-3	RO001	29	nat	4/15/2011			4/27/2011
RO001-4	RO001	27	nat	4/15/2011			4/27/2011
RO001-5	RO001	10	nat	4/15/2011		1 LF	4/27/2011
RO001-6	RO001	27	nat	4/15/2011			4/27/2011
RO001-7	RO001	14	nat	4/15/2011		1 LF	4/27/2011
RO001-8	RO001	29	nat	4/15/2011		1 LF	4/27/2011
RO001-9	RO001	10	nat	4/15/2011		1 LF	4/27/2011
RO002-1	RO001	25	nat	4/21/2011			4/30/2011
RO002-4	RO001	25	nat	4/21/2011			4/30/2011
RO002-7	RO001	25	nat	4/21/2011			4/30/2011
RO002-8	RO001	25	nat	4/21/2011			4/30/2011
UA006-3	RO001	27	nat	4/15/2011		1 LF	4/29/2011
UA006-4	RO001	10	nat	4/15/2011		1 LF	4/29/2011
UA006-6	RO001	14	nat	4/15/2011			4/29/2011
UA006-8	RO001	27	nat	4/15/2011		1 LF	4/29/2011
UA006-9	RO001	14	nat	4/15/2011			4/29/2011
UA007-3	RO001	29	nat	4/15/2011			4/29/2011
UA007-6	RO001	29	nat	4/15/2011		1 LF	4/29/2011
UA007-7	RO001	11	nat	4/15/2011		1 LF	4/29/2011
UA007-9	RO001	11	nat	4/15/2011			4/29/2011
US014-2	RO001	25	nat	4/21/2011			4/30/2011
US014-3	RO001	25	nat	4/21/2011			4/30/2011
US014-6	RO001	25	nat	4/21/2011			4/30/2011
US014-9	RO001	25	nat	4/21/2011			4/30/2011
EDGE-26	RO003	1	nat	4/15/2011		2 LF	4/30/2011
EDGE-49	RO003	1	nat	4/15/2011		2 LF	4/30/2011
CA008-2	RO004	9	nat	4/21/2011			4/29/2011
CA008-5	RO004	9	nat	4/21/2011			4/29/2011
CA008-6	RO004	9	nat	4/21/2011			4/29/2011
CA008-9	RO004	15	nat	4/15/2011		1 LF	4/29/2011
RO004-1	RO004	8	nat	4/15/2011		1 LF	4/29/2011
RO004-2	RO004	15	nat	4/15/2011			4/29/2011
RO004-3	RO004	9	nat	4/21/2011			4/29/2011
RO004-4	RO004	16	nat	4/15/2011			4/29/2011
RO004-5	RO004	7	nat	4/21/2011			4/29/2011
RO004-6	RO004	15	nat	4/15/2011			4/29/2011
RO004-7	RO004	9	nat	4/15/2011		1 LF	4/29/2011
RO004-8	RO004	16	nat	4/15/2011		1 LF	4/29/2011
RO004-9	RO004	9	nat	4/21/2011			4/29/2011
CA008-1	RO005	20	nat	4/21/2011			4/29/2011
EDGE-20	RO005	29	nat	4/21/2011			4/30/2011
EDGE-6	RO005	30	nat	4/21/2011			4/28/2011
EDGE-84	RO005	29	nat	4/21/2011			4/30/2011
EDGE-89	RO005	29	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-90	RO005	29	nat	4/21/2011	NEW PLANT		5/3/2011
RO005-1	RO005	18	nat	4/15/2011		1 LF	4/28/2011
RO005-2	RO005	29	nat	4/15/2011		1 LF	4/28/2011
RO005-3	RO005	21	nat	4/15/2011		1 LF	4/28/2011
RO005-4	RO005	29	nat	4/15/2011		1 LF	4/28/2011
RO005-5	RO005	18	nat	4/15/2011		1 LF	4/28/2011
RO005-6	RO005	21	nat	4/15/2011		1 LF	4/28/2011
RO005-7	RO005	20	nat	4/21/2011			4/28/2011
RO005-9	RO005	24	nat	4/15/2011		1 LF	4/28/2011
UA008-1	RO005	24	nat	4/15/2011		1 LF	4/29/2011
UA008-2	RO005	21	nat	4/15/2011		1 LF	4/29/2011
UA008-3	RO005	24	nat	4/21/2011			4/29/2011
UA008-6	RO005	20	nat	4/21/2011			4/29/2011
UA008-7	RO005	29	nat	4/15/2011		1 LF	4/29/2011
UA008-9	RO005	29	nat	4/15/2011		1 LF	4/29/2011
EDGE-48	RU001	1	nat	4/15/2011		2 LF	4/30/2011
EDGE-51	RU001	4	nat	4/15/2011		2 LF	4/30/2011
EDGE-63	RU001	4	nat	4/15/2011		1 LF	4/30/2011
EDGE-67	RU001	4	nat	4/15/2011		2 LF	4/30/2011
EDGE-76	RU001	3	nat	4/15/2011		1 LF	4/30/2011
EDGE-15	RU008	8	nat	4/15/2011		1 LF	4/30/2011
EDGE-36	RU008	4	nat	4/15/2011			4/30/2011
RU008-1	RU008	7	nat	4/15/2011		2 LF	4/27/2011
RU008-2	RU008	3	nat	4/15/2011		1 LF	4/27/2011
RU008-4	RU008	1	nat	4/15/2011		1 LF	4/27/2011
RU008-5	RU008	7	nat	4/15/2011		1 LF	4/27/2011
RU008-6	RU008	3	nat	4/15/2011		1 LF	4/27/2011
RU008-7	RU008	1	nat	4/15/2011			4/27/2011
RU008-8	RU008	2	nat	4/15/2011		1 LF	4/27/2011
RU008-9	RU008	2	nat	4/15/2011		1 LF	4/27/2011
UA007-1	RU008	8	nat	4/15/2011		1 LF	4/29/2011
UA007-2	RU008	1	nat	4/15/2011			4/29/2011
UA007-4	RU008	8	nat	4/15/2011		1 LF	4/29/2011
UA007-5	RU008	3	nat	4/15/2011		1 LF	4/29/2011
UA007-8	RU008	1	nat	4/15/2011		1 LF	4/29/2011
UA008-4	RU008	2	nat	4/15/2011		1 LF	4/29/2011
UA008-8	RU008	7	nat	4/15/2011		1 LF	4/29/2011
RO002-9	SAND	258	sk	4/15/2011		1 LF	4/30/2011
RO003-4	SAND	234	sk	4/15/2011			4/30/2011
RO003-8	SAND	257	sk	4/15/2011		1 LF	4/30/2011
SAND-1	SAND	256	sk	4/15/2011		1 LF	4/28/2011
SAND-2	SAND	256	sk	4/15/2011		1 LF	4/28/2011
SAND-3	SAND	272	sk	4/15/2011		2 LF	4/28/2011
SAND-4	SAND	272	sk	4/15/2011			4/28/2011
SAND-5	SAND	257	sk	4/15/2011		1 LF	4/28/2011
SAND-6	SAND	286	sk	4/15/2011		1 LF	4/28/2011
SAND-7	SAND	258	sk	4/15/2011		1 LF	4/28/2011
SAND-8	SAND	258	sk	4/15/2011		2 LF	4/28/2011
SAND-9	SAND	286	sk	4/15/2011			4/28/2011
US020-1	SAND	286	sk	4/15/2011			4/29/2011
US020-3	SAND	286	sk	4/15/2011		2 LF	4/29/2011
US020-4	SAND	257	sk	4/15/2011		1 LF	4/29/2011
US020-5	SAND	234	sk	4/15/2011		1 LF	4/29/2011
US020-6	SAND	286	sk	4/15/2011		1 LF	4/29/2011
US020-8	SAND	272	sk	4/15/2011		1 LF	4/29/2011
US020-9	SAND	258	sk	4/15/2011		1 LF	4/29/2011
GR003-9	SERG	24	sk	4/15/2011	NEW PLANT		5/3/2011
RO005-8	SERG	24	sk	4/15/2011	NEW PLANT		5/3/2011
SERG-1	SERG	15	sk	4/15/2011			4/27/2011
SERG-2	SERG	21	sk	4/15/2011		1 LF	4/27/2011
SERG-3	SERG	23	sk	4/15/2011		1 LF	4/27/2011
SERG-4	SERG	21	sk	4/15/2011		1 LF	4/27/2011
SERG-5	SERG	23	sk	4/15/2011		1 LF	4/27/2011
SERG-6	SERG	19	sk	4/15/2011		1 LF	4/27/2011
SERG-7	SERG	24	sk	4/15/2011		1 LF	4/27/2011
SERG-8	SERG	24	sk	4/15/2011			4/27/2011
SERG-9	SERG	16	sk	4/15/2011		1 LF	4/27/2011
US013-9	SERG	24	sk	4/15/2011		2 LF	4/29/2011
US015-1	SERG	16	sk	4/15/2011		1 LF	4/29/2011
US015-2	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-3	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-4	SERG	16	sk	4/15/2011			4/29/2011
US015-5	SERG	16	sk	4/15/2011		1 LF	4/29/2011
US015-7	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-8	SERG	16	sk	4/15/2011		1 LF	4/29/2011
US015-9	SERG	23	sk	4/15/2011		1 LF	4/29/2011
EDGE-21	TR001	18	nat	4/15/2011		1 LF	4/30/2011
EDGE-27	TR001	22	nat	4/15/2011			4/30/2011
EDGE-28	TR001	18	nat	4/21/2011			4/30/2011
EDGE-31	TR001	17	nat	4/21/2011			4/30/2011
EDGE-35	TR001	17	nat	4/21/2011			4/30/2011
EDGE-42	TR001	18	nat	4/21/2011			4/30/2011
EDGE-46	TR001	20	nat	4/15/2011			4/30/2011
EDGE-52	TR001	18	nat	4/21/2011			4/30/2011
EDGE-54	TR001	18	nat	4/21/2011			4/30/2011
EDGE-56	TR001	25	nat	4/21/2011			4/30/2011
EDGE-58	TR001	18	nat	4/21/2011			4/30/2011
EDGE-72	TR001	17	nat	4/21/2011			4/30/2011
EDGE-77	TR001	25	nat	4/21/2011			4/30/2011
EDGE-79	TR001	18	nat	4/21/2011			4/30/2011
EDGE-82	TR001	18	nat	4/21/2011			4/30/2011
EDGE-87	TR001	17	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-88	TR001	17	nat	4/21/2011	NEW PLANT		5/3/2011
TR001-1	TR001	25	nat	4/15/2011		1 LF	4/28/2011
TR001-2	TR001	20	nat	4/15/2011		1 LF	4/28/2011
TR001-3	TR001	17	nat	4/15/2011		1 LF	4/28/2011
TR001-4	TR001	18	nat	4/15/2011			4/28/2011
TR001-5	TR001	22	nat	4/15/2011		1 LF	4/28/2011
TR001-6	TR001	17	nat	4/15/2011		1 LF	4/28/2011
TR001-7	TR001	18	nat	4/15/2011			4/28/2011
TR001-8	TR001	20	nat	4/15/2011			4/28/2011
TR001-9	TR001	22	nat	4/15/2011		1 LF	4/28/2011
US020-2	TR001	22	nat	4/15/2011		1 LF	4/29/2011
US020-7	TR001	22	nat	4/15/2011		1 LF	4/29/2011
US022-1	TR001	18	nat	4/15/2011			4/29/2011
US022-2	TR001	20	nat	4/15/2011			4/29/2011
US022-3	TR001	25	nat	4/21/2011			4/29/2011
US022-4	TR001	25	nat	4/21/2011			4/29/2011
US022-5	TR001	17	nat	4/15/2011		1 LF	4/29/2011
US022-6	TR001	20	nat	4/15/2011			4/29/2011
US022-8	TR001	18	nat	4/15/2011			4/29/2011
US022-9	TR001	17	nat	4/15/2011		1 LF	4/29/2011
EDGE-4	TR004	14	nat	4/15/2011			4/28/2011
EDGE-73	UA003	1A	nat	4/15/2011		2 LF	4/30/2011
CORY1-1	UA004	11	nat	4/21/2011			4/29/2011
CORY1-2	UA004	11	nat	4/15/2011		1 LF	4/29/2011
CORY1-3	UA004	11	nat	4/21/2011			4/29/2011
CORY1-5	UA004	11	nat	4/15/2011		1 LF	4/29/2011
UA004-1	UA004	30	nat	4/15/2011		1 LF	4/28/2011
UA004-2	UA004	11	nat	4/21/2011			4/28/2011
UA004-3	UA004	10	nat	4/21/2011			4/28/2011
UA004-4	UA004	10	nat	4/15/2011		1 LF	4/28/2011
UA004-5	UA004	30	nat	4/15/2011			4/28/2011
UA004-6	UA004	11	nat	4/15/2011		1 LF	4/28/2011
UA004-7	UA004	15	nat	4/15/2011		1 LF	4/28/2011
UA004-8	UA004	18	nat	4/15/2011		1 LF	4/28/2011
UA004-9	UA004	18	nat	4/15/2011			4/28/2011
EDGE-10	UA007	2	nat	4/15/2011			4/28/2011
CA001-1	US001	14	inv	4/15/2011	NEW PLANT		5/3/2011
EDGE-50	US001	9	inv	4/15/2011		1 LF	4/30/2011
EDGE-66	US001	7	inv	4/15/2011		1 LF	4/30/2011
EDGE-80	US001	30	inv	4/15/2011			4/30/2011
RU008-3	US001	4	inv	4/15/2011	NEW PLANT		5/3/2011
US001-1	US001	9	inv	4/15/2011		1 LF	4/27/2011
US001-2	US001	30	inv	4/15/2011		1 LF	4/27/2011
US001-3	US001	30	inv	4/15/2011		1 LF	4/27/2011
US001-4	US001	29	inv	4/15/2011		1 LF	4/27/2011
US001-5	US001	4	inv	4/15/2011		1 LF	4/27/2011
US001-6	US001	29	inv	4/15/2011		1 LF	4/27/2011
US001-7	US001	7	inv	4/15/2011		1 LF	4/27/2011
US001-8	US001	14	inv	4/15/2011			4/27/2011
US001-9	US001	7	inv	4/15/2011		1 LF	4/27/2011
US017-1	US001	30	inv	4/15/2011			4/29/2011
US017-2	US001	7	inv	4/15/2011		1 LF	4/29/2011
US017-3	US001	9	inv	4/15/2011		1 LF	4/29/2011
US017-4	US001	4	inv	4/15/2011		1 LF	4/29/2011
US017-5	US001	29	inv	4/15/2011		1 LF	4/29/2011
US017-6	US001	14	inv	4/15/2011		1 LF	4/29/2011
US017-7	US001	9	inv	4/15/2011		1 LF	4/29/2011
US017-8	US001	30	inv	4/15/2011		1 LF	4/29/2011
US017-9	US001	7	inv	4/15/2011		1 LF	4/29/2011
US018-1	US001	14	inv	4/15/2011		1 LF	4/29/2011
US002-1	US002	15	inv	4/15/2011		2 LF	4/27/2011
US002-2	US002	10	inv	4/15/2011		1 LF	4/27/2011
US002-3	US002	9	inv	4/15/2011		1 LF	4/27/2011
US002-4	US002	3	inv	4/15/2011		1 LF	4/27/2011
US002-5	US002	5	inv	4/15/2011		1 LF	4/27/2011
US002-6	US002	10	inv	4/15/2011		1 LF	4/27/2011
US002-7	US002	9	inv	4/15/2011		1 LF	4/27/2011
US002-8	US002	3	inv	4/15/2011		1 LF	4/27/2011
US002-9	US002	5	inv	4/15/2011			4/27/2011
US012-8	US002	10	inv	4/15/2011		1 LF	4/29/2011
US012-9	US002	15	inv	4/15/2011		1 LF	4/29/2011
US013-1	US002	3	inv	4/15/2011		1 LF	4/29/2011
US013-2	US002	3	inv	4/15/2011			4/29/2011
US013-3	US002	5	inv	4/15/2011		1 LF	4/29/2011
US013-4	US002	9	inv	4/15/2011		1 LF	4/29/2011
